Ship_Mode,Segment,Country,City,State,Postal_Code,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Fecha_Estimada,Anio,Mes,Margen_Profit,Venta_Promedio_Unidad,Rango_Descuento
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,2014-01-01,2014,1,0.16000000000000003,130.98,0%
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,2014-01-01,2014,1,0.3,243.98000000000002,0%
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,2014-01-01,2014,1,0.47000000000000003,7.31,0%
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,2014-01-01,2014,1,-0.4,191.5155,41%-60%
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,2014-01-01,2014,1,0.1125,11.184,1%-20%
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,2014-01-01,2014,1,0.29,6.9799999999999995,0%
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,2014-01-01,2014,1,0.27,1.82,0%
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,2014-01-01,2014,1,0.09999999999999999,151.192,1%-20%
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,2014-01-01,2014,1,0.31249999999999994,6.168,1%-20%
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,2014-01-01,2014,1,0.3,22.98,0%
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,2014-01-02,2014,1,0.05,189.576,1%-20%
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,2014-01-02,2014,1,0.07500000000000001,227.856,1%-20%
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,2014-01-02,2014,1,0.35000000000000003,5.184,1%-20%
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,2014-01-02,2014,1,0.32499999999999996,135.992,1%-20%
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,2014-01-02,2014,1,-1.8,13.762,61%-80%
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,2014-01-02,2014,1,-1.5,0.848,61%-80%
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,2014-01-02,2014,1,0.02,110.98,0%
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,2014-01-02,2014,1,0.18,27.75,0%
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,2014-01-02,2014,1,0.29,4.28,0%
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,2014-01-02,2014,1,0.075,71.16,1%-20%
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,2014-01-03,2014,1,0.325,5.68,1%-20%
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2014-01-03,2014,1,0.25999999999999995,2.7800000000000002,0%
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,2014-01-03,2014,1,0.25999999999999995,8.620000000000001,0%
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2014-01-03,2014,1,-0.014285714285714287,35.686,21%-40%
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,2014-01-03,2014,1,0.22999999999999998,348.21000000000004,0%
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,2014-01-03,2014,1,0.36250000000000004,5.824,1%-20%
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,2014-01-03,2014,1,0.13,30.189999999999998,0%
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,2014-01-03,2014,1,-0.54,440.48999999999995,41%-60%
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,2014-01-03,2014,1,-0.7333333333333334,4.809,61%-80%
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,2014-01-03,2014,1,0.125,41.4,1%-20%
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2014-01-04,2014,1,0.3375,1.632,1%-20%
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,2014-01-04,2014,1,0.11249999999999999,14.384,1%-20%
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,2014-01-04,2014,1,-0.8333333333333334,1.143,61%-80%
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,2014-01-04,2014,1,0.22499999999999998,7.88,1%-20%
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,2014-01-04,2014,1,0.33749999999999997,9.824,1%-20%
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737,2014-01-04,2014,1,0.11249999999999999,156.792,1%-20%
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2014-01-04,2014,1,-0.775,38.184,41%-60%
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,2014-01-04,2014,1,0.3125,12.592,1%-20%
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,2014-01-04,2014,1,-0.08823529411764706,177.4664,21%-40%
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,2014-01-04,2014,1,-0.07142857142857144,70.68599999999999,21%-40%
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,2014-01-05,2014,1,0.1125,92.792,1%-20%
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,2014-01-05,2014,1,0.11249999999999999,36.792,1%-20%
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.894,2014-01-05,2014,1,0.05,38.94,0%
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,2014-01-05,2014,1,0.1,47.808,1%-20%
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,2014-01-05,2014,1,0.43000000000000005,22.99,0%
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,2014-01-05,2014,1,0.47000000000000003,8.73,0%
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,2014-01-05,2014,1,0.04,52.99,0%
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,2014-01-05,2014,1,0.11,15.0,0%
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,2014-01-05,2014,1,0.27999999999999997,10.9,0%
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,2014-01-05,2014,1,0.47000000000000003,6.37,0%
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,2014-01-06,2014,1,0.47,12.530000000000001,0%
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,2014-01-06,2014,1,0.48,3.08,0%
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,2014-01-06,2014,1,0.19,89.99,0%
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2014-01-06,2014,1,0.41,2.18,0%
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,2014-01-06,2014,1,0.29,205.99,0%
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,2014-01-06,2014,1,0.25,34.76,0%
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,2014-01-06,2014,1,0.48,6.4799999999999995,0%
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,2014-01-06,2014,1,0.02222222222222222,63.882000000000005,1%-20%
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,2014-01-06,2014,1,0.48,7.28,0%
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,2014-01-06,2014,1,0.11,15.0,0%
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,2014-01-07,2014,1,0.33749999999999997,12.12,1%-20%
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,2014-01-07,2014,1,0.5,1.68,0%
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,2014-01-07,2014,1,0.44,6.99,0%
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,2014-01-07,2014,1,0.3625,4.304,1%-20%
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,2014-01-07,2014,1,0.47000000000000003,48.91,0%
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,2014-01-07,2014,1,0.27999999999999997,19.94,0%
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,2014-01-07,2014,1,-0.07142857142857142,42.623000000000005,21%-40%
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,2014-01-07,2014,1,0.10000000000000002,139.128,1%-20%
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,2014-01-07,2014,1,0.375,41.992,1%-20%
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,2014-01-07,2014,1,0.4700000000000001,37.94,0%
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,2014-01-08,2014,1,0.37500000000000006,4.616,1%-20%
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,2014-01-08,2014,1,0.45999999999999996,6.3500000000000005,0%
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,2014-01-08,2014,1,-0.13749999999999998,103.992,1%-20%
